date,strategy,benchmark,invested,turnover,transaction_cost,holdings,stock_stop_exits,portfolio_stop_exits,stop_exits,portfolio_value,cash,qqq
2026-07-10,-0.012234733601120928,0.002851158607526605,1.0000000000000002,0.0,0.0,5,0,0,0,1.5923243090801504,-4.0158848468863084e-16,0.0030831766397523275
2026-07-13,-0.07301643109754696,-0.015540524343828244,1.0000000000000002,0.0,0.0,5,0,0,0,1.4760584708812505,-4.0158848468863084e-16,-0.018979752174332565
2026-07-14,0.01850563413237838,0.009037543896807332,0.8201341837458115,0.18030945008519064,0.0008136576772271733,4,1,0,1,1.5033738689013767,0.2704055680651635,0.011169809199988778
2026-07-15,-0.03835230847000071,0.006213656791796529,0.8129607985976458,0.0,0.0,4,0,0,0,1.4457160105355327,0.2704055680651635,-0.0027094999235781625
2026-07-16,-0.05638231215916367,-0.014742723711353545,0.8017849773139237,0.0,0.0,4,0,0,0,1.3642031991360175,0.2704055680651635,-0.016440493772118092
2026-07-17,-0.017905517883420763,-0.013975376662113903,0.6242255706472529,0.1743776925720419,0.0007012482156941734,3,1,0,1,1.3397764343572678,0.5034537250808605,-0.015029605915516941
2026-07-20,0.015899854137081393,-0.0004768763930120823,0.4312242009289157,0.19936175385328078,0.0008145282582134766,2,1,0,1,1.3610786842398475,0.7741486162271392,0.0010498612169760335
2026-07-21,0.043285035952215445,0.012903367444106806,0.4548222398762218,0.0,0.0,2,0,0,0,1.4199930240209633,0.7741486162271392,0.01854725167370641
2026-07-22,0.0008457285215730526,-0.0056627631234176246,0.4552829226447292,0.0,0.0,2,0,0,0,1.4211939526218127,0.7741486162271392,-0.0051059988433925785
2026-07-23,0.001493704446618338,-0.02153330556734112,0.45609535543085844,0.0,0.0,2,0,0,0,1.423316796348351,0.7741486162271392,-0.018983483377046917
2026-07-24,-0.023280272867829077,-0.006439334720095613,0.44313130014672086,0.0,0.0,2,0,0,0,1.3901815929519972,0.7741486162271392,-0.01117116596335066
2026-07-27,-0.01670727279036699,-0.0017512938514130383,0.4336694613479455,0.0,0.0,2,0,0,0,1.3669554498504013,0.7741486162271392,-0.0030837583853382533
2026-07-28,-0.03682211672437086,-0.0022128117670087155,0.412018747018935,0.0,0.0,2,0,0,0,1.316621256718995,0.7741486162271392,-0.009719697413944739
2026-07-29,-0.032112170411954355,-0.01744469067902732,0.20672515918005074,0.18624071561982133,0.0007124009593729842,1,1,0,1,1.2743416905552332,1.0109032017254276,-0.020370397785311467
2026-07-30,0.026167330901338604,0.02778880118349103,0.0,0.22748127773616486,0.0008930329273659044,0,1,0,1,1.3076878112533632,1.3076878112533632,0.032974173756668
2026-07-31,0.0,0.010017840808401068,0.0,0.0,0.0,0,0,0,0,1.3076878112533632,1.3076878112533632,0.006495501426377226
